date,ASBA,ASBB,ASBJ,ASBR,ASBS,ASBV,ASCH,ASDU,ASGB,ASGN,ASHU,ASIB,ASJB,ASJK,ASKB,ASKC,ASKH,ASKZ,ASLK,ASLM,ASLR,ASLS,ASLU,ASMB,ASMI,ASMJ,ASMO,ASMP,ASMU,ASMY,ASNI,ASOL,ASPE,ASPO,ASPP,ASRK,ASSE,ASSK,ASSL,ASSP,ASST,ASSW,ASTG,ASTJ,ASTN,ASTT,ASTU,ASVL,ASZA,ASZI,ASZR,ASZY,LZPW,LZSL
2018-01-01,975.5,962.0,975.7,955.3,944.3,null,null,996.7,996.8,928.3,998.1,994.7,990.5,964.5,null,993.2,867.8,986.9,928.1,944.1,894.3,null,988.4,null,1003.0,940.3,981.0,null,null,null,995.5,918.8,980.9,944.3,991.7,null,982.4,988.2,975.7,860.7,916.1,967.2,906.2,892.1,986.8,929.0,951.9,989.6,null,974.5,980.3,960.8,null,null
2018-01-02,973.4,957.4,971.6,950.5,939.7,null,null,991.8,994.4,925.7,994.6,992.4,987.6,960.1,null,987.9,865.1,981.3,926.4,940.9,889.7,null,983.0,null,996.6,938.6,976.8,null,null,null,992.0,916.3,977.7,941.5,988.6,null,979.9,983.4,971.1,856.6,913.7,963.7,902.3,889.9,984.0,926.8,949.6,985.6,null,971.6,975.7,957.6,null,null
2018-01-03,979.4,960.8,972.8,953.0,943.9,null,null,996.4,1000.5,927.4,1000.5,998.4,993.3,961.5,null,989.1,866.0,982.7,929.8,943.9,891.9,null,985.5,null,997.5,943.8,981.7,null,null,null,997.6,919.9,981.8,943.8,994.3,null,986.0,984.5,974.5,857.8,915.4,965.2,904.1,892.9,989.1,928.3,953.7,991.3,null,975.8,979.8,961.5,null,null
2018-01-04,968.8,951.3,963.5,943.8,933.9,null,null,986.9,989.9,917.7,990.3,987.0,982.0,952.7,null,981.1,857.9,974.3,918.9,933.8,883.0,null,976.8,null,989.9,934.2,971.8,null,null,null,986.9,909.3,971.9,933.5,983.2,null,975.1,975.9,964.8,849.1,905.7,955.8,895.3,882.3,977.9,918.6,942.2,981.0,null,964.4,969.9,951.0,null,null
2018-01-05,966.9,952.8,966.3,946.1,935.4,null,null,987.2,987.9,920.1,988.8,985.7,981.3,955.4,null,984.2,859.8,977.8,918.4,934.5,885.5,null,979.1,null,993.4,932.3,971.5,null,null,null,986.1,908.9,971.2,935.1,982.2,null,973.2,978.6,966.4,852.0,907.6,958.7,898.0,882.6,977.1,921.2,941.5,980.3,null,963.9,970.6,951.0,null,null
2018-01-06,973.1,959.9,972.4,953.0,942.2,null,null,993.2,993.6,926.6,994.7,991.8,987.3,961.8,null,990.5,866.2,983.8,926.4,941.9,892.4,null,985.4,null,999.6,938.6,977.7,null,null,null,992.4,916.8,978.1,940.9,988.4,null,979.6,985.2,973.4,858.7,914.1,965.1,904.7,890.0,983.9,927.5,949.6,986.3,null,971.7,977.6,958.1,null,null
2018-01-07,979.1,965.0,978.7,958.2,947.4,null,null,998.9,999.8,932.9,1000.3,997.7,992.9,967.6,null,995.6,872.8,989.3,933.5,947.9,897.8,null,990.9,null,1004.8,944.4,983.3,null,null,null,997.8,923.6,983.6,948.7,994.0,null,985.6,990.9,978.5,864.6,921.0,970.8,910.1,897.4,989.3,934.0,956.2,991.8,null,977.4,982.7,964.3,null,null
2018-01-08,990.8,975.9,991.7,969.3,958.2,null,null,1010.2,1011.6,944.5,1012.0,1009.8,1005.2,979.5,null,1007.2,883.1,1000.6,945.3,959.2,908.2,null,1001.7,null,1015.7,955.7,994.4,null,null,null,1009.6,934.9,995.2,960.7,1006.1,null,997.7,1002.9,989.6,874.4,932.5,982.9,920.6,907.9,1001.2,945.5,968.4,1003.2,null,989.9,993.9,975.9,null,null
2018-01-09,993.8,979.0,995.7,972.4,961.2,null,null,1013.4,1014.9,948.6,1015.6,1013.1,1008.3,983.4,null,1010.8,885.9,1003.9,949.0,962.9,910.8,null,1004.9,null,1019.4,958.6,997.8,null,null,null,1013.0,938.3,998.8,964.9,1009.4,null,1000.3,1007.2,992.6,877.8,936.6,987.0,923.9,911.3,1004.9,949.8,971.2,1006.7,null,992.7,997.2,979.2,null,null
2018-01-10,985.5,971.9,986.0,965.6,954.3,null,null,1006.0,1006.7,939.1,1008.2,1004.8,1000.3,974.6,null,1003.4,877.8,996.7,938.2,953.8,904.4,null,998.1,null,1012.3,950.3,990.5,null,null,null,1005.7,928.3,990.0,954.5,1000.9,null,990.9,998.4,985.6,870.6,927.0,978.2,917.2,901.8,995.7,940.2,960.6,999.3,null,982.5,989.9,970.0,null,null
