date,ASBA,ASBB,ASBJ,ASBR,ASBS,ASBV,ASCH,ASDU,ASGB,ASGN,ASHU,ASIB,ASJB,ASJK,ASKB,ASKC,ASKH,ASKZ,ASLK,ASLM,ASLR,ASLS,ASLU,ASMB,ASMI,ASMJ,ASMO,ASMP,ASMU,ASMY,ASNI,ASOL,ASPE,ASPO,ASPP,ASRK,ASSE,ASSK,ASSL,ASSP,ASST,ASSW,ASTG,ASTJ,ASTN,ASTT,ASTU,ASVL,ASZA,ASZI,ASZR,ASZY,LZPW,LZSL
2018-01-01,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-02,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-03,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-04,0.0,0.73,0.0,0.1,0.52,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.96,0.0,null,0.0,0.0,0.0,0.0,0.0,0.01,0.0,null,0.0,1.84,1.05,0.0,0.0,0.23,0.0,0.0,0.5,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.32,0.59,null,null
2018-01-05,0.0,0.0,0.0,0.0,0.0,null,null,0.2,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,null,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,null,null
2018-01-06,0.0,0.14,0.0,0.25,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.95,0.15,null,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.06,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,null,null
2018-01-07,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.1,0.0,0.0,0.0,0.18,0.0,0.3,0.18,0.0,0.1,0.67,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-08,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-09,0.0,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-10,0.09,0.0,0.0,0.0,0.0,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.63,0.0,null,0.0,0.0,0.0,0.2,0.0,0.63,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null
2018-01-11,0.0,0.11,0.0,0.05,0.25,null,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.07,null,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.08,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.05,0.0,null,null
