date,ASBA,ASBB,ASBJ,ASBR,ASBS,ASBV,ASCH,ASDU,ASGB,ASGN,ASHU,ASIB,ASJB,ASJK,ASKB,ASKC,ASKH,ASKZ,ASLK,ASLM,ASLR,ASLS,ASLU,ASMB,ASMI,ASMJ,ASMO,ASMP,ASMU,ASMY,ASNI,ASOL,ASPE,ASPO,ASPP,ASRK,ASSE,ASSK,ASSL,ASSP,ASST,ASSW,ASTG,ASTJ,ASTN,ASTT,ASTU,ASVL,ASZA,ASZI,ASZR,ASZY,LZPW,LZSL
2018-01-01,  77.0, 343.3, 121.3, 118.6,  58.5,  null,  null,  51.0, 117.2, 150.0, 124.3,  52.0,  50.0, 114.9, 265.5, 193.6, 223.6, 200.0, 266.0, 256.4, 264.9,  null,  89.0, 355.5, 138.7,  86.8,  91.0, 118.3,  76.2,  49.5,  81.3, 230.9,  63.0,  36.3,  26.0, 173.5,  97.2, 167.0,  26.0, 276.5, 353.9, 107.8, 229.0,  91.9,  27.5, 143.0, 321.5,  86.7, 160.7, 247.0, 296.1, 184.6,  null,  null
2018-01-02,  26.3, 344.4,   4.7, 127.6,  35.4,  null,  null,   4.0,   8.8, 297.0,  97.5,  68.0,  13.0, 101.1,  65.9, 311.8, 359.3,   3.0, 324.0, 158.0,  66.7,  null,  63.4, 351.8, 328.2, 149.7,  12.0, 225.6,  null,  null, 328.4, 242.0,  69.4,  32.6,  19.0, 125.3, 148.4, 326.0, 327.0,  10.1,  29.0, 159.7,  82.0, 191.6, 100.8, 128.0, 270.2, 264.6, 172.8, 107.0,  69.6, 325.9,  null,  null
2018-01-03, 275.6, 321.6, 340.7, 174.2,  25.3,  null,  null, 276.0, 302.7, 296.0, 305.8, 246.0, 270.0, 318.4,  25.2,  68.7, 334.9, 329.0, 301.0, 275.7, 258.7,  null, 214.5, 102.6, 301.8, 286.4, 305.0, 298.7, 274.4, 300.5, 309.5, 233.5, 267.2, 265.6, 288.0, 242.2, 203.3, 333.0, 291.0,  27.5,  71.7,  51.2, 123.0, 348.7, 304.1, 250.0, 250.9, 275.7, 144.2, 238.0, 345.5, 217.4,  null,  null
2018-01-04, 261.9, 329.5,  62.1,  93.7, 255.0,  null,  null, 130.0, 204.0, 149.0, 216.1, 268.0, 254.0,  93.0, 246.5, 178.3,   0.0, 239.0, 251.0, 266.0, 263.1,  null, 238.5, 180.1, 123.0, 259.2, 275.0, 280.6,  null,  null, 337.7, 249.1, 122.9,  67.6, 147.0, 228.4, 164.6, 144.0,  80.0, 258.0, 164.9,  42.7, 213.0, 157.1, 246.7, 250.0, 234.5, 196.1, 308.5, 289.0, 358.2, 189.2,  null,  null
2018-01-05,  81.9,  58.4, 184.6,  46.0, 230.2,  null,  null, 105.0, 184.7, 177.0, 155.1,  61.0, 141.0, 106.2,  55.3, 193.1,   0.0, 185.0, 243.0, 101.1, 176.1,  null,  68.7, 225.5, 136.6, 125.3, 109.0, 123.8, 146.7, 111.1,  90.8, 235.4,  18.0, 165.9, 131.0, 239.5, 128.8, 160.0, 350.0, 293.8, 199.4, 207.2, 231.0, 207.5, 162.0, 189.0, 227.0, 101.4, 219.1, 245.0,  87.7, 239.8,  null,  null
2018-01-06,  30.0, 340.6, 163.6,  91.1,  38.4,  null,  null,  67.0, 193.0, 136.0, 168.2,  34.0,  99.0, 119.5, 200.1, 190.6,   0.0, 227.0, 265.0, 138.7, 209.3,  null,  70.4, 303.1, 128.4,  69.0,  88.0,  36.4, 156.3,  79.8,  73.0, 209.9, 348.1, 164.9, 113.0, 168.6,  94.4, 145.0,  34.0, 284.3, 188.7, 275.4, 228.0, 243.8, 184.0, 146.0, 246.4,  99.4, 329.0, 211.0,  83.1, 133.0,  null,  null
2018-01-07, 159.8,  67.8,  97.8, 214.0,  66.8,  null,  null,  63.0, 260.7, 144.0, 166.1, 266.0,  81.0,  60.3, 124.6, 147.8, 222.0, 324.0,  96.0, 103.4, 231.9,  null,  56.8, 349.2, 327.4, 326.3,  99.0, 292.2, 102.6, 107.6, 103.8, 292.4, 346.8,  45.4, 117.0, 344.7,  89.9, 161.0,  51.0, 291.7, 310.3, 118.9, 219.0, 181.9,  98.7, 279.0, 218.2,  96.9, 238.5,  72.0, 107.0, 140.6,  null,  null
2018-01-08,  45.0, 345.0, 359.3, 191.3, 110.8,  null,  null, 100.0, 104.1,   7.0,  61.9,   9.0, 185.0, 336.1,  27.5, 231.7, 195.5,  19.0,  52.0,  93.1, 124.5,  null,  53.0,  19.6, 337.3,  44.6, 103.0, 114.4, 117.9, 107.8, 265.2,  62.1,   3.6,  34.3, 220.0,  25.7, 166.8, 307.0,  18.0, 337.1, 353.2, 259.1,  89.0, 305.1,  21.9,  78.0,  99.3,  79.2, 186.3, 142.0,  20.2, 161.9,  null,  null
2018-01-09,  58.4,  37.2,  52.8, 337.0,  34.4,  null,  null,  97.0, 103.8,   9.0,  76.7,  61.0, 350.0,  13.3,  37.3, 229.2,  23.9,  15.0, 322.0, 120.8,  87.7,  null, 100.9,  13.8, 338.5,  72.7, 115.0, 105.8,  73.9, 104.3,  93.7,  48.8, 350.0, 254.3,  83.0, 107.8, 108.5, 320.0,  11.0,  60.8, 283.0, 143.4,  72.0, 286.9,   5.0,  10.0, 211.1,  79.0, 216.9, 133.0, 317.7,  77.8,  null,  null
2018-01-10,  51.5, 287.1,   5.1, 214.8, 127.7,  null,  null,  95.0, 100.4, 172.0, 130.4,  91.0, 123.0, 102.1, 143.2, 176.6, 185.5, 254.0,  67.0,  95.7, 105.2,  null, 131.7,   7.7, 220.0,  92.3, 109.0, 111.6, 120.4, 113.5, 110.1, 280.6,  98.3, 159.6, 139.0, 151.6, 136.9, 166.0,  42.0, 265.4, 192.6,   5.7, 250.0, 308.6, 169.2, 124.0, 334.7, 101.7, 129.5, 278.0, 132.3, 272.3,  null,  null
2018-01-11,  39.1, 305.3, 201.9, 196.9,  35.7,  null,  null, 196.0, 102.0, 138.0, 207.1,  67.0, 202.0,  48.6,  85.0, 102.7, 157.5, 317.0, 101.0, 171.7, 267.1,  null, 122.8,  37.1,  48.3, 292.6, 107.0, 105.9,  48.6, 170.6, 244.3, 262.1,   7.0, 293.7, 224.0, 237.7, 190.8,  22.0,   9.0, 249.7, 300.6, 329.9, 225.0, 199.5, 235.0, 150.0, 333.2,  72.7, 234.0,  78.0,  58.6,  66.9,  null,  null
2018-01-12, 328.3, 115.1, 343.5,  91.4,  58.5,  null,  null, 261.0, 306.7,   3.0, 306.1, 305.0, 295.0, 112.7, 333.1, 184.7, 334.0,  22.0,  90.0, 282.9, 324.0,  null, 158.4, 224.5, 342.9, 316.7, 314.0, 309.9,  null, 320.0, 324.0,  50.8, 267.5,  34.3, 331.0, 152.4, 299.1, 317.0,  26.0, 215.2,  45.8, 299.5,  76.0, 353.6, 301.2, 105.0,  62.0, 225.8, 275.3,  67.0, 218.4,   9.9,  null,  null
2018-01-13,  33.7, 318.5,  33.9,  57.6,  55.4,  null,  null,  86.0,  18.3,  45.0,  29.1,  10.0,   1.0,  47.4,   3.4, 355.3,   0.0, 359.0,  59.0,  84.2, 316.7,  null,  96.8,  35.8, 338.6,  18.1, 314.0, 355.7,  null,  null, 326.6,  68.6,  13.2,  25.1, 355.0,   4.1,  39.6, 349.0, 237.0,  21.9,  23.9,  12.2,  59.0,  17.6, 359.2,  46.0,  59.2,  55.9,  41.8,  45.0, 344.9,  21.8,  null,  null
2018-01-14,  64.7, 225.9,   7.2,  82.9, 114.2,  null,  null,  69.0,  80.5, 139.0, 109.1,  79.0,  95.0,  89.5, 250.1,  54.1,   0.0,  62.0,  18.0, 111.1,  86.3,  null,  75.5,  32.7, 355.5,   0.0, 100.0, 120.0,  null,  null,  94.8,  82.7,  55.0,  41.4,  77.0,  24.6, 128.9, 333.0, 298.0,  67.8, 239.4,  51.5,  17.0, 198.4,  58.4,  68.0, 221.6,  68.9, 186.9,  50.0,  86.9,  38.4,  null,  null
2018-01-15,  64.8, 304.9, 230.6, 129.7,  49.2,  null,  null,  44.0,  94.1, 304.0,  86.0,  89.0,  88.0,  48.0,  64.4, 192.5, 162.1, 357.0,  91.0, 129.6,  69.9,  null, 145.5, 354.8, 357.4,   0.0,  63.0,  92.8, 105.3,  null, 106.5, 247.3, 206.2,  46.2,  21.0, 143.8, 126.6,  30.0, 114.0, 298.1, 219.0, 116.7,   1.0, 194.0, 159.5, 272.0, 106.9,  79.8, 304.7, 233.0,  26.9, 204.2,  null,  null
2018-01-16, 102.8, 136.5, 101.4,  35.1, 158.7,  null,  null, 112.0, 146.5, 174.0, 148.7, 108.0, 140.0,  99.5, 216.3, 166.3,   0.0, 189.0,  87.0, 178.9, 179.2,  null, 155.2, 237.6, 167.0,   0.0, 113.0, 112.9,  null,  null, 138.7, 267.2,  99.8, 205.2, 141.0, 210.1, 130.2, 142.0, 120.0, 279.9, 181.0, 192.3, 231.0, 221.7, 164.7, 159.0, 209.6, 132.3,   1.9, 241.0, 192.2, 236.4,  null,  null
2018-01-17,   8.7, 256.1, 287.3, 134.5,  63.1,  null,  null,  35.0, 168.1, 277.0, 189.4, 337.0, 128.0, 173.7, 272.4, 191.4,   0.0, 177.0, 267.0,  97.8, 257.9,  null, 229.9, 225.6, 142.5, 244.3, 102.0, 265.2,  null,  null,  65.6, 243.9, 352.1,  48.6, 126.0,  39.9,  13.1, 153.0,  20.0, 304.2, 324.7,  77.8, 223.0,  64.2, 251.0, 234.0, 208.9,  82.6, 343.7, 263.0,  59.3, 226.3,  null,  null
2018-01-18, 268.7, 178.9, 279.7,  71.1, 318.1,  null,  null, 181.0, 249.2, 292.0, 286.3, 282.0, 241.0, 105.0, 279.6,  46.5, 326.1, 198.0, 252.0, 257.1, 263.6,  null, 260.1, 313.5, 299.7, 258.3, 300.0, 248.9,  null,  null, 295.5, 239.2, 216.3, 229.8, 207.0, 269.9, 234.0, 217.0, 259.0, 355.6, 350.1,  89.3, 231.0, 134.6, 224.5, 271.0, 201.8, 286.8, 249.2, 287.0, 290.1, 275.2,  null,  null
2018-01-19, 260.2, 295.0, 156.8,  null, 243.9,  null,  null, 354.0, 250.2, 241.0, 246.4, 278.0, 264.0,  80.5, 236.4, 247.4,   0.0, 210.0, 255.0, 276.1, 272.6,  null, 223.2, 208.4, 148.4, 263.2, 256.0, 315.7, 302.8, 273.7, 337.9, 240.8,  76.3, 302.0, 228.0, 227.5, 275.1, 154.0, 174.0, 291.9, 322.3, 258.0, 213.0, 123.5, 223.5, 240.0, 267.3, 225.9, 243.7, 269.0, 329.8, 209.1,  null,  null
2018-01-20, 245.1, 331.9, 221.6,  null, 267.1,  null,  null, 157.0, 224.3, 338.0, 263.8, 250.0, 216.0, 333.1, 354.9, 157.8, 261.0, 301.0, 252.0,  19.7, 260.9,  null, 315.0,  18.6, 325.3, 274.0, 118.0, 296.4,  null, 307.4,  82.1, 253.2, 238.8, 147.2, 243.0,  33.5, 160.9, 356.0, 333.0, 282.5, 189.6, 322.6, 324.0, 187.6, 281.3, 295.0, 120.1, 247.9, 167.2,  51.0, 309.3,  58.2,  null,  null
2018-01-21,  30.3,  93.3,   0.3, 151.1, 146.4,  null,  null,  76.0, 139.6, 140.0, 150.9,  52.0,  97.0,  88.8, 230.2, 217.5, 180.0, 170.0,  69.0, 107.3, 184.2,  null,  68.1, 172.0, 161.4,   0.0, 107.0, 122.6, 104.1, 100.3,  84.7,   6.4, 346.5, 159.9, 120.0, 149.1, 114.9, 136.0,  17.0, 278.0, 238.8, 308.0, 236.0,  46.1,  93.5, 101.0, 117.0,  82.5, 212.3, 101.0,  84.6, 278.2,  null,  null
2018-01-22,  17.2,  35.4, 300.7, 202.7, 355.4,  null,  null, 314.0, 328.4,  39.0, 329.8, 333.0, 342.0, 326.5, 341.7, 350.5,   0.0,   0.0,  36.0, 324.5, 168.6,  null, 122.6,   3.2, 339.1, 333.9, 326.0, 331.2, 313.8, 302.2, 317.5,   3.0, 336.2, 351.9, 354.0,  14.1, 352.1, 340.0, 218.0,  35.4,   1.5, 330.9,  39.0, 304.2, 356.2, 233.0,  60.9, 322.0,  24.5,  78.0, 337.2, 349.4,  null,  null
2018-01-23,  69.8,  11.8,  99.8, 151.5,  61.7,  null,  null,  50.0, 114.6,  59.0, 133.8,  42.0, 119.0, 355.5, 336.4, 144.5,   0.0, 354.0,  74.0,  94.3, 248.1,  null, 354.2,   7.9,   6.7,   0.0, 105.0, 130.1, 127.2, 111.3, 100.0,  91.6,   5.0, 195.8, 129.0, 231.0, 123.6, 352.0, 106.0, 240.0, 315.4, 144.4, 217.0, 195.2, 325.4,  33.0, 250.5,  99.6, 275.1, 240.0, 124.0, 157.2,  null,  null
2018-01-24,  30.7, 248.6,  20.4,  null, 232.6,  null,  null, 276.0, 114.6, 147.0, 132.9,   6.0, 182.0,  99.9, 157.6, 204.9, 199.2, 136.0, 256.0,  24.7,  63.5,  null, 143.5, 319.3, 237.1, 224.7, 113.0,  90.0,  99.3,  60.5, 106.1, 251.2,  13.8, 247.1, 259.0, 318.6,  26.4,  46.0, 293.0, 265.1, 255.7, 353.1, 237.0, 171.6, 355.4, 261.0, 173.6, 107.0, 322.8, 233.0, 356.6,  37.9,  null,  null
2018-01-25,  36.5,  39.7, 120.9, 168.9, 155.2,  null,  null,  57.0, 124.8, 147.0, 134.5,  31.0, 105.0, 140.5, 308.3, 177.6,   0.0, 197.0, 250.0,  56.2, 228.9,  null,  50.0, 187.1, 129.8,  98.9, 102.0, 117.6,  null,  94.5,  83.0, 264.5, 343.0,  26.6, 158.0, 193.4, 120.1, 138.0, 344.0, 250.0, 222.3, 125.0, 228.0, 210.0, 152.0,  81.0, 229.3,  78.0, 163.2, 186.0,  82.3, 164.7,  null,  null
2018-01-26,  35.3, 315.5,  88.2,  85.4,  54.3,  null,  null,  80.0, 110.3, 149.0, 122.0,  41.0, 106.0,  85.5, 141.2,  63.0, 180.5,   6.0,  85.0,   8.4,  71.3,  null, 173.5, 327.8,  92.8,  71.3, 102.0, 123.4,  87.2,  89.8,  91.7,  96.6,  19.7,  26.4, 110.0, 168.7, 127.8,  98.0,  11.0, 312.3, 252.9, 284.9, 217.0, 329.7,  94.9, 255.0, 203.8,  74.5, 341.1, 244.0,  47.3,  79.8,  null,  null
2018-01-27,  90.8, 301.3, 182.5, 206.6,  32.6,  null,  null, 305.0,  68.5,  13.0,  63.8,  29.0, 290.0, 359.6, 144.9,  14.4,   0.0, 159.0, 100.0, 332.2, 350.8,  null,  44.5, 341.0, 347.9,  43.4, 109.0, 115.3,  null,  22.1, 189.5, 244.6,  23.2, 318.0, 309.0, 167.5, 147.4, 315.0,   6.0, 351.9, 346.8, 122.3, 223.0, 176.6,  19.9,  41.0, 239.1,  76.1, 205.6,  73.0,   2.1, 150.4,  null,  null
